cohort_month,region,country,advertiser_segment,campaign_objective,cohort_size,retained_day_7,retained_day_30,retained_day_90
2025-01-01,North America,United States,SMB,Conversions,15,8,7,4
2025-01-01,North America,United States,SMB,Traffic,22,12,6,3
2025-01-01,North America,United States,SMB,Lead Generation,14,7,6,3
2025-01-01,North America,United States,SMB,App Installs,15,9,6,3
2025-01-01,North America,United States,SMB,Catalog Sales,15,8,6,3
2025-01-01,North America,United States,Mid-Market,Conversions,33,24,24,14
2025-01-01,North America,United States,Mid-Market,Traffic,31,22,10,6
2025-01-01,North America,United States,Mid-Market,Lead Generation,25,18,15,9
2025-01-01,North America,United States,Mid-Market,App Installs,34,24,16,10
2025-01-01,North America,United States,Mid-Market,Catalog Sales,33,23,19,11
2025-01-01,North America,United States,Enterprise,Conversions,65,52,47,30
2025-01-01,North America,United States,Enterprise,Traffic,58,45,21,13
2025-01-01,North America,United States,Enterprise,Lead Generation,57,46,41,27
2025-01-01,North America,United States,Enterprise,App Installs,41,36,24,15
2025-01-01,North America,United States,Enterprise,Catalog Sales,65,54,50,31
2025-01-01,North America,United States,Agency,Conversions,40,28,27,17
2025-01-01,North America,United States,Agency,Traffic,53,38,17,10
2025-01-01,North America,United States,Agency,Lead Generation,41,33,29,17
2025-01-01,North America,United States,Agency,App Installs,50,37,23,15
2025-01-01,North America,United States,Agency,Catalog Sales,45,33,30,18
2025-01-01,North America,Canada,SMB,Conversions,12,6,6,4
2025-01-01,North America,Canada,SMB,Traffic,12,6,2,1
2025-01-01,North America,Canada,SMB,Lead Generation,12,6,4,2
2025-01-01,North America,Canada,SMB,App Installs,12,6,4,2
2025-01-01,North America,Canada,SMB,Catalog Sales,12,6,5,3
2025-01-01,North America,Canada,Mid-Market,Conversions,14,8,8,5
2025-01-01,North America,Canada,Mid-Market,Traffic,14,8,3,2
2025-01-01,North America,Canada,Mid-Market,Lead Generation,18,11,9,5
2025-01-01,North America,Canada,Mid-Market,App Installs,17,10,6,3
2025-01-01,North America,Canada,Mid-Market,Catalog Sales,19,12,10,6
2025-01-01,North America,Canada,Enterprise,Conversions,31,25,24,15
2025-01-01,North America,Canada,Enterprise,Traffic,22,16,7,4
2025-01-01,North America,Canada,Enterprise,Lead Generation,27,20,18,10
2025-01-01,North America,Canada,Enterprise,App Installs,34,26,16,10
2025-01-01,North America,Canada,Enterprise,Catalog Sales,28,23,19,12
2025-01-01,North America,Canada,Agency,Conversions,26,20,18,11
2025-01-01,North America,Canada,Agency,Traffic,21,15,7,4
2025-01-01,North America,Canada,Agency,Lead Generation,17,12,10,6
2025-01-01,North America,Canada,Agency,App Installs,25,16,10,6
2025-01-01,North America,Canada,Agency,Catalog Sales,28,21,17,10
2025-01-01,Europe,United Kingdom,SMB,Conversions,14,7,6,3
2025-01-01,Europe,United Kingdom,SMB,Traffic,15,7,3,2
2025-01-01,Europe,United Kingdom,SMB,Lead Generation,12,6,5,3
