week_start,region,country,advertiser_segment,campaign_objective,ad_product,spend,impressions,clicks,conversions,revenue,ctr,cvr,cpc,cpm,cpa,roas,d30_retention,advertiser_cohort,retained_advertisers_d30
2025-01-06,Asia Pacific,Australia,Enterprise,Conversions,Smart Performance Campaign,578.65,57378,716,102,7738.75,0.01248,0.14246,0.81,10.08,5.67,13.374,1.0,1,1
2025-01-06,Asia Pacific,Australia,Mid-Market,Conversions,Smart Performance Campaign,232.75,22834,306,30,1923.04,0.0134,0.09804,0.76,10.19,7.76,8.262,1.0,1,1
2025-01-06,Asia Pacific,Australia,SMB,Catalog Sales,Spark Ads,138.85,15435,230,15,669.88,0.0149,0.06522,0.6,9.0,9.26,4.824,1.0,1,1
2025-01-06,Asia Pacific,Australia,SMB,Lead Generation,Lead Gen Forms,175.17,19553,228,13,547.61,0.01166,0.05702,0.77,8.96,13.47,3.126,0.0,1,0
2025-01-06,Asia Pacific,Indonesia,Agency,App Installs,App Promotion,518.3,55649,692,31,1161.46,0.01244,0.0448,0.75,9.31,16.72,2.241,0.0,1,0
2025-01-06,Asia Pacific,Indonesia,Agency,Traffic,Spark Ads,378.17,50181,1033,37,1386.91,0.02059,0.03582,0.37,7.54,10.22,3.667,0.0,1,0
2025-01-06,Asia Pacific,Indonesia,Enterprise,App Installs,App Promotion,591.7,57941,658,33,1624.46,0.01136,0.05015,0.9,10.21,17.93,2.745,0.0,1,0
2025-01-06,Asia Pacific,Indonesia,Mid-Market,Conversions,Catalog Ads,499.72,47501,659,45,2741.21,0.01387,0.06829,0.76,10.52,11.1,5.485,1.0,1,1
2025-01-06,Asia Pacific,Indonesia,Mid-Market,Traffic,Smart Performance Campaign,329.58,36154,559,22,788.3,0.01546,0.03936,0.59,9.12,14.98,2.392,1.0,1,1
2025-01-06,Asia Pacific,Japan,SMB,App Installs,Smart Performance Campaign,267.91,23703,279,16,654.09,0.01177,0.05735,0.96,11.3,16.74,2.441,1.0,1,1
2025-01-06,Asia Pacific,Japan,SMB,App Installs,Spark Ads,156.37,15926,227,8,264.55,0.01425,0.03524,0.69,9.82,19.55,1.692,0.0,1,0
2025-01-06,Asia Pacific,Japan,SMB,Conversions,Spark Ads,316.07,25396,415,31,1766.56,0.01634,0.0747,0.76,12.45,10.2,5.589,1.0,1,1
2025-01-06,Asia Pacific,Japan,SMB,Lead Generation,Smart Performance Campaign,245.55,23107,268,18,645.35,0.0116,0.06716,0.92,10.63,13.64,2.628,0.0,1,0
2025-01-06,Asia Pacific,South Korea,Enterprise,Conversions,Catalog Ads,581.23,44986,578,74,6655.43,0.01285,0.12803,1.01,12.92,7.85,11.451,1.0,1,1
2025-01-06,Asia Pacific,South Korea,Enterprise,Conversions,Smart Performance Campaign,662.74,54577,742,88,7808.05,0.0136,0.1186,0.89,12.14,7.53,11.781,1.0,1,1
2025-01-06,Asia Pacific,South Korea,Mid-Market,Conversions,Spark Ads,393.84,36730,474,39,2783.62,0.0129,0.08228,0.83,10.72,10.1,7.068,0.0,1,0
2025-01-06,Asia Pacific,South Korea,Mid-Market,Traffic,App Promotion,192.39,23466,413,14,601.19,0.0176,0.0339,0.47,8.2,13.74,3.125,1.0,1,1
2025-01-06,Asia Pacific,South Korea,SMB,App Installs,App Promotion,157.67,19450,267,9,330.76,0.01373,0.03371,0.59,8.11,17.52,2.098,0.0,1,0
2025-01-06,Europe,France,Agency,Lead Generation,Lead Gen Forms,327.65,44725,500,37,1427.64,0.01118,0.074,0.66,7.33,8.86,4.357,0.0,1,0
2025-01-06,Europe,France,Enterprise,Lead Generation,Lead Gen Forms,408.85,55144,659,59,3153.02,0.01195,0.08953,0.62,7.41,6.93,7.712,1.0,1,1
2025-01-06,Europe,France,Mid-Market,Conversions,Spark Ads,262.12,23473,326,28,1387.13,0.01389,0.08589,0.8,11.17,9.36,5.292,1.0,1,1
2025-01-06,Europe,France,SMB,Conversions,Smart Performance Campaign,244.29,18193,188,15,583.76,0.01033,0.07979,1.3,13.43,16.29,2.39,0.0,1,0
2025-01-06,Europe,Germany,Mid-Market,App Installs,App Promotion,276.53,31705,428,22,784.72,0.0135,0.0514,0.65,8.72,12.57,2.838,1.0,1,1
2025-01-06,Middle East & Africa,Saudi Arabia,Mid-Market,Conversions,Spark Ads,310.32,26483,401,35,2057.21,0.01514,0.08728,0.77,11.72,8.87,6.629,0.0,1,0
2025-01-06,Middle East & Africa,South Africa,Agency,Traffic,Smart Performance Campaign,347.47,39940,639,25,867.32,0.016,0.03912,0.54,8.7,13.9,2.496,0.0,1,0
2025-01-06,Middle East & Africa,United Arab Emirates,Enterprise,Traffic,Spark Ads,396.74,50693,1066,52,2231.92,0.02103,0.04878,0.37,7.83,7.63,5.626,1.0,1,1
